example_id                                                           | status | run_time        |
-------------------------------------------------------------------- | ------ | --------------- |
./spec/cli/command_parser_spec.rb[1:1:1]                             | passed | 0.00544 seconds |
./spec/cli/command_parser_spec.rb[1:1:2]                             | passed | 0.00043 seconds |
./spec/cli/command_parser_spec.rb[1:1:3]                             | passed | 0.00032 seconds |
./spec/cli/command_parser_spec.rb[1:1:4]                             | passed | 0.0004 seconds  |
./spec/cli/command_parser_spec.rb[1:1:5]                             | passed | 0.00032 seconds |
./spec/cli/command_spec.rb[1:1:1]                                    | passed | 0.00177 seconds |
./spec/cli/command_spec.rb[1:1:2]                                    | passed | 0.00066 seconds |
./spec/cli/command_spec.rb[1:1:3]                                    | passed | 0.00099 seconds |
./spec/cli/config_spec.rb[1:1:1]                                     | passed | 0.01032 seconds |
./spec/cli/config_spec.rb[1:2:1]                                     | passed | 0.00131 seconds |
./spec/cli/config_spec.rb[1:3:1]                                     | passed | 0.0017 seconds  |
./spec/cli/config_spec.rb[1:3:2]                                     | passed | 0.00117 seconds |
./spec/cli/config_spec.rb[1:3:3]                                     | passed | 0.00184 seconds |
./spec/cli/config_spec.rb[1:3:4]                                     | passed | 0.00106 seconds |
./spec/cli/config_spec.rb[1:3:5]                                     | passed | 0.00103 seconds |
./spec/cli/config_spec.rb[1:3:6]                                     | passed | 0.00106 seconds |
./spec/cli/config_spec.rb[1:3:7]                                     | passed | 0.00098 seconds |
./spec/cli/config_spec.rb[1:3:8]                                     | passed | 0.00105 seconds |
./spec/cli/config_spec.rb[1:3:9]                                     | passed | 0.00102 seconds |
./spec/cli/config_spec.rb[1:3:10]                                    | passed | 0.0011 seconds  |
./spec/cli/config_spec.rb[1:4:1]                                     | passed | 0.00108 seconds |
./spec/cli/config_spec.rb[1:4:2]                                     | passed | 0.00113 seconds |
./spec/cli/config_spec.rb[1:4:3]                                     | passed | 0.00155 seconds |
./spec/cli/config_spec.rb[1:4:4]                                     | passed | 0.00184 seconds |
./spec/cli/config_spec.rb[1:4:5]                                     | passed | 0.00231 seconds |
./spec/cli/config_spec.rb[1:4:6]                                     | passed | 0.00173 seconds |
./spec/cli/config_spec.rb[1:4:7]                                     | passed | 0.00125 seconds |
./spec/cli/config_spec.rb[1:4:8]                                     | passed | 0.00127 seconds |
./spec/cli/config_spec.rb[1:4:9]                                     | passed | 0.0013 seconds  |
./spec/cli/config_spec.rb[1:4:10]                                    | passed | 0.00121 seconds |
./spec/cli/diff_spec.rb[1:1:1]                                       | passed | 0.00126 seconds |
./spec/cli/diff_spec.rb[1:2:1]                                       | passed | 0.01749 seconds |
./spec/cli/diff_spec.rb[1:2:2]                                       | passed | 0.00907 seconds |
./spec/cli/diff_spec.rb[1:2:3]                                       | passed | 0.02076 seconds |
./spec/cli/diff_spec.rb[1:2:4]                                       | passed | 0.00928 seconds |
